Frequency_MHz,Power_dBm
655.008,-96.980
655.117,-97.289
655.225,-96.618
655.334,-95.820
655.442,-96.767
655.551,-96.575
655.659,-96.309
655.768,-97.934
655.876,-96.666
655.985,-97.587
656.093,-97.730
656.202,-98.809
656.310,-96.997
656.419,-97.452
656.527,-96.956
656.636,-96.629
656.744,-95.956
656.853,-95.620
656.961,-95.010
657.070,-96.315
657.178,-97.550
657.287,-95.181
657.395,-93.370
657.503,-93.936
657.612,-97.803
657.720,-97.092
657.829,-95.464
657.937,-98.119
658.046,-95.643
658.154,-96.977
658.263,-96.159
658.371,-96.624
658.480,-98.439
658.588,-97.759
658.697,-96.600
658.805,-97.065
658.914,-96.938
659.022,-97.115
659.131,-95.322
659.239,-96.193
659.348,-96.131
659.456,-95.655
659.565,-96.725
659.673,-93.847
659.782,-93.512
659.890,-86.539
659.998,-85.393
660.107,-90.501
660.215,-95.747
660.324,-97.198
660.432,-96.082
660.541,-97.377
660.649,-96.136
660.758,-97.227
660.866,-96.475
660.975,-96.204
661.083,-96.946
661.192,-96.655
661.300,-94.934
661.409,-96.761
661.517,-96.126
661.626,-96.985
661.734,-97.845
661.843,-96.420
661.951,-99.004
662.060,-98.659
662.168,-97.463
662.277,-98.570
662.385,-98.314
662.493,-95.570
662.602,-95.973
662.710,-97.291
662.819,-96.532
662.927,-96.536
663.036,-94.049
663.144,-94.940
663.253,-97.777
663.361,-97.169
663.470,-98.219
663.578,-98.105
663.687,-98.130
663.795,-97.697
663.904,-96.957
664.012,-96.298
664.121,-98.326
664.229,-97.613
664.338,-97.304
664.446,-97.680
664.555,-97.472
664.663,-96.712
664.772,-97.336
664.880,-96.000
664.988,-95.824
665.097,-97.250
665.205,-96.441
665.314,-97.312
665.422,-97.519
665.531,-95.163
665.639,-93.015
665.748,-94.854
665.856,-94.792
665.965,-95.058
666.073,-94.445
666.182,-95.703
666.290,-94.333
666.399,-92.742
666.507,-93.954
666.616,-94.412
666.724,-92.624
666.833,-90.871
666.941,-92.486
667.050,-87.287
667.158,-78.223
667.267,-74.822
667.375,-75.790
667.483,-87.197
667.592,-87.217
667.700,-89.097
667.809,-91.015
667.917,-93.395
668.026,-94.217
668.134,-80.635
668.243,-80.236
668.351,-92.011
668.460,-93.305
668.568,-95.752
668.677,-94.130
668.785,-95.862
668.894,-94.494
669.002,-95.545
669.111,-97.073
669.219,-95.037
669.328,-95.337
669.436,-96.502
669.545,-97.876
669.653,-95.089
669.762,-96.157
669.870,-95.268
669.978,-94.069
670.087,-95.642
670.195,-95.965
670.304,-96.780
670.412,-96.387
670.521,-94.435
670.629,-92.720
670.738,-95.920
670.846,-97.937
670.955,-97.348
671.063,-97.199
671.172,-97.350
671.280,-97.990
671.389,-94.700
671.497,-96.292
671.606,-95.763
671.714,-98.327
671.823,-98.215
671.931,-97.381
672.040,-98.176
672.148,-97.177
672.257,-98.817
672.365,-97.918
672.473,-97.796
672.582,-99.112
672.690,-97.658
672.799,-97.159
672.907,-98.583
673.016,-96.842
673.124,-98.221
673.233,-97.114
673.341,-98.029
673.450,-97.604
673.558,-96.607
673.667,-97.787
673.775,-97.488
673.884,-97.742
673.992,-97.284
674.101,-97.201
674.209,-97.468
674.318,-95.787
674.426,-96.569
674.535,-96.115
674.643,-99.108
674.752,-97.665
674.860,-96.866
674.968,-95.181
675.077,-96.927
675.185,-98.514
675.294,-96.477
675.402,-97.743
675.511,-97.928
675.619,-96.423
675.728,-96.831
675.836,-96.250
675.945,-96.346
676.053,-99.045
676.162,-96.105
676.270,-97.233
676.379,-97.831
676.487,-98.763
676.596,-98.692
676.704,-94.800
676.813,-98.635
676.921,-98.937
677.030,-96.690
677.138,-96.438
677.247,-97.427
677.355,-96.935
677.463,-93.855
677.572,-93.886
677.680,-95.456
677.789,-96.958
677.897,-99.606
678.006,-96.532
678.114,-96.854
678.223,-98.098
678.331,-97.175
678.440,-98.378
678.548,-98.588
678.657,-97.344
678.765,-96.542
678.874,-95.249
678.982,-94.790
679.091,-98.638
679.199,-96.617
679.308,-96.302
679.416,-97.284
679.525,-97.022
679.633,-95.696
679.742,-96.226
679.850,-92.831
679.958,-92.755
680.067,-93.681
680.175,-93.602
680.284,-94.178
680.392,-95.193
680.501,-93.234
680.609,-91.916
680.718,-92.788
680.826,-91.649
680.935,-92.149
681.043,-93.199
681.152,-90.839
681.260,-88.194
681.369,-88.968
681.477,-81.914
681.586,-87.635
681.694,-80.351
681.803,-78.558
681.911,-73.071
682.020,-75.886
682.128,-80.266
682.237,-84.315
682.345,-83.999
682.453,-85.747
682.562,-91.093
682.670,-89.424
682.779,-94.772
682.887,-92.055
682.996,-94.082
683.104,-95.187
683.213,-94.006
683.321,-88.723
683.430,-94.799
683.538,-95.663
683.647,-96.871
683.755,-95.169
683.864,-97.842
683.972,-96.467
684.081,-96.477
684.189,-95.000
684.298,-96.542
684.406,-96.506
684.515,-97.888
684.623,-97.752
684.732,-98.121
684.840,-95.855
684.948,-96.036
685.057,-95.646
685.165,-97.679
685.274,-97.555
685.382,-96.303
685.491,-94.340
685.599,-92.080
685.708,-93.465
685.816,-97.666
685.925,-97.261
686.033,-98.496
686.142,-96.403
686.250,-94.022
686.359,-95.260
686.467,-94.926
686.576,-96.526
686.684,-95.289
686.793,-98.317
686.901,-95.041
687.010,-96.648
687.118,-97.465
687.227,-95.777
687.335,-96.307
687.443,-94.199
687.552,-95.032
687.660,-95.614
687.769,-96.459
687.877,-96.413
687.986,-98.027
688.094,-95.827
688.203,-96.895
688.311,-97.566
688.420,-93.946
688.528,-95.205
688.637,-96.132
688.745,-97.463
688.854,-96.007
688.962,-96.987
689.071,-97.761
689.179,-97.712
689.288,-96.552
689.396,-96.504
689.505,-96.712
689.613,-97.739
689.722,-95.393
689.830,-97.053
689.938,-96.201
690.047,-95.666
690.155,-96.678
690.264,-96.968
690.372,-95.126
690.481,-97.719
690.589,-97.016
690.698,-97.727
690.806,-95.104
690.915,-97.631
