Frequency_MHz,Power_dBm
201.242,-77.703
201.350,-86.622
201.459,-82.564
201.567,-84.773
201.676,-89.258
201.784,-89.765
201.893,-90.689
202.001,-89.465
202.110,-88.511
202.218,-89.681
202.327,-87.872
202.435,-86.066
202.543,-87.448
202.652,-87.713
202.760,-81.624
202.869,-88.500
202.977,-88.115
203.086,-88.317
203.194,-87.102
203.303,-88.142
203.411,-90.332
203.520,-89.058
203.628,-90.121
203.737,-89.624
203.845,-88.644
203.954,-89.879
204.062,-86.770
204.171,-84.125
204.279,-77.837
204.388,-89.453
204.496,-91.737
204.605,-92.608
204.713,-93.177
204.822,-92.897
204.930,-94.874
205.038,-94.236
205.147,-91.141
205.255,-85.467
205.364,-82.490
205.472,-90.137
205.581,-91.358
205.689,-83.494
205.798,-83.882
205.906,-95.111
206.015,-94.428
206.123,-93.473
206.232,-96.169
206.340,-94.419
206.449,-94.021
206.557,-94.585
206.666,-92.669
206.774,-91.651
206.883,-91.015
206.991,-88.095
207.100,-84.069
207.208,-87.698
207.317,-79.056
207.425,-91.005
207.533,-88.738
207.642,-90.760
207.750,-90.576
207.859,-75.692
207.967,-85.168
208.076,-86.956
208.184,-88.562
208.293,-87.895
208.401,-87.679
208.510,-89.867
208.618,-89.859
208.727,-88.204
208.835,-86.748
208.944,-84.541
209.052,-91.135
209.161,-90.324
209.269,-90.917
209.378,-90.960
209.486,-91.537
209.595,-90.113
209.703,-87.857
209.812,-86.029
209.920,-84.981
210.028,-90.979
210.137,-90.159
210.245,-89.719
210.354,-91.221
210.462,-81.588
210.571,-94.446
210.679,-94.559
210.788,-93.615
210.896,-94.509
211.005,-96.489
211.113,-95.933
211.222,-95.521
211.330,-87.063
211.439,-96.700
211.547,-96.469
211.656,-96.541
211.764,-89.100
211.873,-94.200
211.981,-84.136
212.090,-93.902
212.198,-93.990
212.307,-91.149
212.415,-93.442
212.523,-92.062
212.632,-89.357
212.740,-86.470
212.849,-87.659
212.957,-90.284
213.066,-91.211
213.174,-90.783
213.283,-89.641
213.391,-87.271
213.500,-82.540
213.608,-89.314
213.717,-89.366
213.825,-88.247
213.934,-87.531
214.042,-90.713
214.151,-89.029
214.259,-90.738
214.368,-89.385
214.476,-89.410
214.585,-91.254
214.693,-90.333
214.802,-83.474
214.910,-91.058
215.018,-84.224
215.127,-92.957
215.235,-91.312
215.344,-90.128
215.452,-86.072
215.561,-87.442
215.669,-90.254
215.778,-92.034
215.886,-90.584
215.995,-89.334
216.103,-94.964
216.212,-93.121
216.320,-94.225
216.429,-93.643
216.537,-83.021
216.646,-95.647
216.754,-96.639
216.863,-93.122
216.971,-87.479
217.080,-96.779
217.188,-95.427
217.297,-97.335
217.405,-92.143
217.513,-89.739
217.622,-95.642
217.730,-95.707
217.839,-96.269
217.947,-95.909
218.056,-86.593
218.164,-87.737
218.273,-95.217
218.381,-93.850
218.490,-92.947
218.598,-94.139
218.707,-93.179
218.815,-94.541
218.924,-92.975
219.032,-94.939
219.141,-95.425
219.249,-95.868
219.358,-93.649
219.466,-95.122
219.575,-93.296
219.683,-84.069
219.792,-94.572
219.900,-87.593
219.900,-86.744
400.000,-76.338
400.108,-83.710
400.217,-83.124
400.325,-70.065
400.434,-70.365
400.542,-82.230
400.651,-83.519
400.759,-83.605
400.868,-62.821
400.976,-63.033
401.085,-80.174
401.193,-87.610
401.302,-86.742
401.410,-86.262
401.519,-86.370
401.627,-89.420
401.736,-87.432
401.844,-88.067
401.953,-91.149
402.061,-92.257
402.170,-90.394
402.278,-89.432
402.387,-88.610
402.495,-88.449
402.603,-88.090
402.712,-89.260
402.820,-86.476
402.929,-88.295
403.037,-89.829
403.146,-90.262
403.254,-86.904
403.363,-86.670
403.471,-87.986
403.580,-87.142
403.688,-88.375
403.797,-88.031
403.905,-85.992
404.014,-87.699
404.122,-86.730
404.231,-88.371
404.339,-86.989
404.448,-89.185
404.556,-90.787
404.665,-91.884
404.773,-92.107
404.882,-93.818
404.990,-91.584
405.098,-90.677
405.207,-92.495
405.315,-92.639
405.424,-94.391
405.532,-89.736
405.641,-81.942
405.749,-90.508
405.858,-92.455
405.966,-92.256
406.075,-92.430
406.183,-91.901
406.292,-92.519
406.400,-93.689
406.509,-92.330
406.617,-93.845
406.726,-94.508
406.834,-94.069
406.943,-92.385
407.051,-91.389
407.160,-90.658
407.268,-90.079
407.377,-92.850
407.485,-93.727
407.593,-92.337
407.702,-93.460
407.810,-92.960
407.919,-91.854
408.027,-91.055
408.136,-91.149
408.244,-91.552
408.353,-92.464
408.461,-90.573
408.570,-91.815
408.678,-92.060
408.787,-91.866
408.895,-93.346
409.004,-92.354
409.112,-94.194
409.221,-94.004
409.329,-93.070
409.438,-95.882
409.546,-92.704
409.655,-93.087
409.763,-90.841
409.872,-91.499
409.980,-91.495
410.088,-89.654
410.197,-88.189
410.305,-87.176
410.414,-79.769
410.522,-81.332
410.631,-74.757
410.739,-81.054
410.848,-85.848
410.956,-88.096
411.065,-89.123
411.173,-85.570
411.282,-86.111
411.390,-89.045
411.499,-91.226
411.607,-92.871
411.716,-91.685
411.824,-90.330
411.933,-94.482
412.041,-93.949
412.150,-94.526
412.258,-93.577
412.367,-92.882
412.475,-91.507
412.583,-92.659
412.692,-93.358
412.800,-93.036
412.909,-94.019
413.017,-93.870
413.126,-94.537
413.234,-94.300
413.343,-95.046
413.451,-92.011
413.560,-88.544
413.668,-92.035
413.777,-97.472
413.885,-94.462
413.994,-94.955
414.102,-93.914
414.211,-95.873
414.319,-95.630
414.428,-98.769
414.536,-98.170
414.645,-95.897
414.753,-96.535
414.862,-97.924
414.970,-96.657
415.078,-97.054
415.187,-97.090
415.295,-99.086
415.404,-97.651
415.512,-94.455
415.621,-93.334
415.729,-75.130
415.838,-82.520
