Frequency (Hz),Average,Median,Range,Std Dev,Variance,PSD (dBm/Hz)
,-81.445,-81.445,12.119,8.569,73.435,-121.445
,-81.950,-81.950,13.129,9.284,86.185,-121.950
,-81.376,-81.376,11.981,8.472,71.772,-121.375
,-81.761,-81.761,12.752,9.017,81.307,-121.761
,-81.650,-81.650,12.530,8.860,78.500,-121.650
,-82.524,-82.524,14.278,10.096,101.931,-122.524
,-82.274,-82.274,13.777,9.742,94.903,-122.274
57.702,,,,,,
,-82.958,-82.958,15.146,10.710,114.701,-122.958
,-82.583,-82.583,14.396,10.180,103.622,-122.583
,-82.466,-82.466,14.161,10.013,100.267,-122.466
,-83.268,-83.268,15.765,11.148,124.268,-123.268
,-82.668,-82.668,14.565,10.299,106.070,-122.668
,-82.717,-82.717,14.664,10.369,107.516,-122.717
,-83.035,-83.035,15.300,10.819,117.045,-123.035
,-82.062,-82.062,13.355,9.443,89.178,-122.062
,-82.769,-82.769,14.768,10.443,109.047,-122.769
57.810,,,,,,
,-79.630,-79.630,8.490,6.003,36.040,-119.630
,-80.193,-80.193,9.616,6.800,46.234,-120.193
,-77.864,-77.864,4.957,3.505,12.286,-117.864
,-81.982,-81.982,13.193,9.329,87.028,-121.982
,-83.105,-83.105,15.440,10.918,119.197,-123.105
,-82.956,-82.956,15.141,10.706,114.625,-122.956
,-82.820,-82.820,14.869,10.514,110.544,-122.820
,-81.226,-81.226,11.681,8.260,68.223,-121.226
,-79.644,-79.644,8.519,6.024,36.287,-119.644
,-79.893,-79.893,9.016,6.375,40.644,-119.893
57.919,,,,,,
,-82.710,-82.710,14.651,10.360,107.326,-122.710
,-82.544,-82.544,14.318,10.124,102.503,-122.544
,-82.788,-82.788,14.806,10.469,109.609,-122.788
,-82.632,-82.632,14.494,10.249,105.038,-122.632
,-82.758,-82.758,14.746,10.427,108.722,-122.758
,-82.751,-82.751,14.733,10.418,108.531,-122.751
,-80.349,-80.349,9.928,7.020,49.283,-120.349
,-83.530,-83.530,16.290,11.519,132.682,-123.530
,-83.311,-83.311,15.851,11.208,125.627,-123.310
58.027,,,,,,
,-83.077,-83.077,15.384,10.878,118.334,-123.077
,-68.267,-68.267,14.235,10.066,101.318,-108.268
,-68.303,-68.303,14.164,10.015,100.309,-108.303
,-79.598,-79.598,8.426,5.958,35.499,-119.598
,-81.661,-81.661,12.552,8.876,78.776,-121.661
,-82.101,-82.101,13.432,9.498,90.209,-122.101
,-82.890,-82.890,15.010,10.614,112.650,-122.890
,-82.738,-82.738,14.706,10.399,108.133,-122.738
,-83.370,-83.370,15.971,11.293,127.536,-123.370
58.136,,,,,,
,-82.289,-82.289,13.808,9.764,95.330,-122.289
,-81.347,-81.347,11.923,8.431,71.079,-121.347
,-75.547,-75.547,0.324,0.229,0.052,-115.547
,-82.381,-82.381,13.992,9.894,97.888,-122.381
,-80.477,-80.477,10.185,7.202,51.867,-120.477
,-80.945,-80.945,11.119,7.862,61.816,-120.945
,-78.287,-78.287,5.805,4.105,16.849,-118.287
,-77.493,-77.493,4.215,2.980,8.883,-117.493
,-78.500,-78.500,6.229,4.405,19.400,-118.500
58.244,,,,,,
,-79.726,-79.726,8.681,6.138,37.680,-119.726
,-80.763,-80.763,10.755,7.605,57.835,-120.763
,-80.797,-80.797,10.824,7.654,58.579,-120.797
,-80.146,-80.146,9.522,6.733,45.334,-120.146
,-80.125,-80.125,9.479,6.703,44.926,-120.125
,-80.516,-80.516,10.262,7.256,52.654,-120.516
,-79.312,-79.312,7.855,5.554,30.851,-119.312
,-78.057,-78.057,5.344,3.779,14.279,-118.057
,-79.483,-79.483,8.197,5.796,33.595,-119.483
58.353,,,,,,
