Frequency (MHz),Level (dBm),Band Name,Peak Indicator
52.44,-106.24,Low VHF+FM,
52.45,-112.67,Low VHF+FM,
52.46,-104.51,Low VHF+FM,
52.47,-109.59,Low VHF+FM,
52.48,-108.93,Low VHF+FM,
52.49,-108.11,Low VHF+FM,
52.50,-107.24,Low VHF+FM,
52.50,-109.79,Low VHF+FM,
52.51,-110.07,Low VHF+FM,
52.52,-105.38,Low VHF+FM,
52.53,-104.05,Low VHF+FM,
52.54,-105.63,Low VHF+FM,
52.55,-110.15,Low VHF+FM,
52.56,-102.64,Low VHF+FM,
52.57,-106.05,Low VHF+FM,
52.57,-107.72,Low VHF+FM,
52.58,-104.03,Low VHF+FM,
52.59,-109.09,Low VHF+FM,
52.60,-103.14,Low VHF+FM,
52.61,-103.55,Low VHF+FM,
52.62,-101.32,Low VHF+FM,
52.63,-105.67,Low VHF+FM,
52.63,-110.01,Low VHF+FM,
52.64,-106.81,Low VHF+FM,
52.65,-107.85,Low VHF+FM,
52.66,-107.34,Low VHF+FM,
52.67,-105.67,Low VHF+FM,
52.68,-112.32,Low VHF+FM,
52.69,-103.74,Low VHF+FM,
52.70,-101.45,Low VHF+FM,
52.70,-102.78,Low VHF+FM,
52.71,-106.75,Low VHF+FM,
52.72,-105.71,Low VHF+FM,
52.73,-104.70,Low VHF+FM,
52.74,-105.66,Low VHF+FM,
52.75,-108.22,Low VHF+FM,
52.76,-109.87,Low VHF+FM,
52.77,-103.45,Low VHF+FM,
52.77,-105.50,Low VHF+FM,
52.78,-100.61,Low VHF+FM,
52.79,-101.85,Low VHF+FM,
52.80,-103.54,Low VHF+FM,
52.81,-111.63,Low VHF+FM,
52.82,-107.39,Low VHF+FM,
52.83,-107.48,Low VHF+FM,
52.83,-107.82,Low VHF+FM,
52.84,-108.33,Low VHF+FM,
52.85,-106.55,Low VHF+FM,
52.86,-105.09,Low VHF+FM,
52.87,-106.42,Low VHF+FM,
52.88,-104.09,Low VHF+FM,
52.89,-107.27,Low VHF+FM,
52.90,-107.81,Low VHF+FM,
52.90,-101.33,Low VHF+FM,
52.91,-107.98,Low VHF+FM,
52.92,-111.16,Low VHF+FM,
52.93,-104.11,Low VHF+FM,
52.94,-105.35,Low VHF+FM,
52.95,-106.58,Low VHF+FM,
52.96,-107.47,Low VHF+FM,
52.97,-103.17,Low VHF+FM,
52.97,-108.30,Low VHF+FM,
52.98,-104.60,Low VHF+FM,
52.99,-110.28,Low VHF+FM,
53.00,-101.45,Low VHF+FM,
53.01,-102.64,Low VHF+FM,
53.02,-106.03,Low VHF+FM,
53.03,-104.61,Low VHF+FM,
53.03,-109.71,Low VHF+FM,
53.04,-109.04,Low VHF+FM,
53.05,-107.91,Low VHF+FM,
53.06,-109.68,Low VHF+FM,
53.07,-108.97,Low VHF+FM,
53.08,-101.06,Low VHF+FM,
53.09,-106.60,Low VHF+FM,
53.10,-105.07,Low VHF+FM,
53.10,-108.49,Low VHF+FM,
53.11,-107.81,Low VHF+FM,
53.12,-110.59,Low VHF+FM,
53.13,-105.50,Low VHF+FM,
53.14,-103.94,Low VHF+FM,
53.15,-111.76,Low VHF+FM,
53.16,-111.08,Low VHF+FM,
53.17,-105.64,Low VHF+FM,
53.17,-104.88,Low VHF+FM,
53.18,-108.28,Low VHF+FM,
53.19,-109.23,Low VHF+FM,
53.20,-102.61,Low VHF+FM,
53.21,-107.63,Low VHF+FM,
53.22,-103.64,Low VHF+FM,
53.23,-105.73,Low VHF+FM,
53.23,-104.98,Low VHF+FM,
53.24,-108.87,Low VHF+FM,
53.25,-105.94,Low VHF+FM,
53.26,-101.20,Low VHF+FM,
53.27,-108.64,Low VHF+FM,
53.28,-107.99,Low VHF+FM,
53.29,-105.93,Low VHF+FM,
53.30,-105.63,Low VHF+FM,
53.30,-104.24,Low VHF+FM,
53.31,-108.76,Low VHF+FM,
53.32,-107.01,Low VHF+FM,
53.33,-102.40,Low VHF+FM,
53.34,-108.92,Low VHF+FM,
53.35,-106.06,Low VHF+FM,
53.36,-103.76,Low VHF+FM,
53.37,-113.52,Low VHF+FM,
53.37,-110.14,Low VHF+FM,
53.38,-106.01,Low VHF+FM,
53.39,-102.47,Low VHF+FM,
53.40,-104.69,Low VHF+FM,
53.41,-109.66,Low VHF+FM,
53.42,-104.57,Low VHF+FM,
53.43,-108.05,Low VHF+FM,
53.43,-107.56,Low VHF+FM,
53.44,-107.68,Low VHF+FM,
53.45,-107.04,Low VHF+FM,
53.46,-105.35,Low VHF+FM,
53.47,-101.26,Low VHF+FM,
53.48,-104.10,Low VHF+FM,
53.49,-101.90,Low VHF+FM,
53.50,-109.38,Low VHF+FM,
53.50,-106.33,Low VHF+FM,
53.51,-105.76,Low VHF+FM,
53.52,-104.68,Low VHF+FM,
53.53,-105.66,Low VHF+FM,
53.54,-106.06,Low VHF+FM,
53.55,-108.68,Low VHF+FM,
53.56,-104.84,Low VHF+FM,
53.57,-109.25,Low VHF+FM,
53.57,-105.69,Low VHF+FM,
53.58,-109.08,Low VHF+FM,
53.59,-104.90,Low VHF+FM,
53.60,-104.23,Low VHF+FM,
53.61,-109.31,Low VHF+FM,
53.62,-105.99,Low VHF+FM,
53.63,-108.01,Low VHF+FM,
53.63,-107.59,Low VHF+FM,
53.64,-110.63,Low VHF+FM,
53.65,-104.34,Low VHF+FM,
53.66,-104.48,Low VHF+FM,
53.67,-101.87,Low VHF+FM,
53.68,-110.20,Low VHF+FM,
53.69,-105.87,Low VHF+FM,
53.70,-105.48,Low VHF+FM,
53.70,-101.97,Low VHF+FM,
53.71,-105.20,Low VHF+FM,
53.72,-105.98,Low VHF+FM,
53.73,-107.81,Low VHF+FM,
53.74,-101.93,Low VHF+FM,
53.75,-100.77,Low VHF+FM,
53.76,-102.71,Low VHF+FM,
53.77,-100.66,Low VHF+FM,
53.77,-108.19,Low VHF+FM,
53.78,-103.48,Low VHF+FM,
53.79,-105.52,Low VHF+FM,
53.80,-108.79,Low VHF+FM,
53.81,-106.20,Low VHF+FM,
53.82,-108.77,Low VHF+FM,
53.83,-111.54,Low VHF+FM,
53.83,-107.32,Low VHF+FM,
53.84,-105.99,Low VHF+FM,
53.85,-110.73,Low VHF+FM,
53.86,-103.78,Low VHF+FM,
53.87,-112.32,Low VHF+FM,
53.88,-102.51,Low VHF+FM,
53.89,-105.35,Low VHF+FM,
53.90,-101.06,Low VHF+FM,
53.90,-107.24,Low VHF+FM,
53.91,-106.96,Low VHF+FM,
53.92,-110.33,Low VHF+FM,
53.93,-103.55,Low VHF+FM,
53.94,-104.47,Low VHF+FM,
53.95,-102.90,Low VHF+FM,
53.96,-109.28,Low VHF+FM,
53.97,-105.66,Low VHF+FM,
53.97,-113.30,Low VHF+FM,
53.98,-108.61,Low VHF+FM,
53.99,-107.48,Low VHF+FM,
54.00,-102.26,Low VHF+FM,
54.00,-107.26,Low VHF+FM,
54.01,-108.12,Low VHF+FM,
54.02,-108.37,Low VHF+FM,
54.03,-104.06,Low VHF+FM,
54.03,-105.02,Low VHF+FM,
54.04,-102.35,Low VHF+FM,
54.05,-108.61,Low VHF+FM,
54.06,-105.79,Low VHF+FM,
54.07,-111.84,Low VHF+FM,
54.08,-111.86,Low VHF+FM,
54.09,-107.16,Low VHF+FM,
54.10,-104.35,Low VHF+FM,
54.10,-104.75,Low VHF+FM,
54.11,-110.18,Low VHF+FM,
54.12,-110.69,Low VHF+FM,
54.13,-100.34,Low VHF+FM,
54.14,-105.56,Low VHF+FM,
54.15,-103.05,Low VHF+FM,
54.16,-105.44,Low VHF+FM,
54.17,-114.18,Low VHF+FM,
54.17,-103.98,Low VHF+FM,
54.18,-105.01,Low VHF+FM,
54.19,-112.97,Low VHF+FM,
54.20,-105.80,Low VHF+FM,
54.21,-108.87,Low VHF+FM,
54.22,-105.36,Low VHF+FM,
54.23,-101.70,Low VHF+FM,
54.23,-104.63,Low VHF+FM,
54.24,-102.90,Low VHF+FM,
54.25,-106.50,Low VHF+FM,
54.26,-105.19,Low VHF+FM,
54.27,-103.48,Low VHF+FM,
54.28,-113.53,Low VHF+FM,
54.29,-102.82,Low VHF+FM,
54.30,-107.00,Low VHF+FM,
54.30,-107.57,Low VHF+FM,
54.31,-108.33,Low VHF+FM,
54.32,-109.34,Low VHF+FM,
54.33,-111.77,Low VHF+FM,
54.34,-108.55,Low VHF+FM,
54.35,-114.69,Low VHF+FM,
54.36,-100.86,Low VHF+FM,
54.37,-109.24,Low VHF+FM,
54.37,-108.45,Low VHF+FM,
54.38,-105.71,Low VHF+FM,
54.39,-103.89,Low VHF+FM,
54.40,-105.85,Low VHF+FM,
54.41,-110.61,Low VHF+FM,
54.42,-102.90,Low VHF+FM,
54.43,-108.75,Low VHF+FM,
54.43,-105.67,Low VHF+FM,
54.44,-109.37,Low VHF+FM,
54.45,-111.99,Low VHF+FM,
54.46,-105.01,Low VHF+FM,
54.47,-105.40,Low VHF+FM,
54.48,-108.87,Low VHF+FM,
54.49,-113.25,Low VHF+FM,
54.50,-108.42,Low VHF+FM,
54.50,-105.37,Low VHF+FM,
54.51,-105.99,Low VHF+FM,
54.52,-107.54,Low VHF+FM,
54.53,-106.50,Low VHF+FM,
54.54,-107.96,Low VHF+FM,
54.55,-107.98,Low VHF+FM,
54.56,-105.19,Low VHF+FM,
54.57,-109.32,Low VHF+FM,
54.57,-111.52,Low VHF+FM,
54.58,-108.01,Low VHF+FM,
54.59,-109.02,Low VHF+FM,
54.60,-106.57,Low VHF+FM,
54.61,-107.76,Low VHF+FM,
54.62,-106.42,Low VHF+FM,
54.63,-110.92,Low VHF+FM,
54.63,-109.50,Low VHF+FM,
54.64,-104.35,Low VHF+FM,
54.65,-107.44,Low VHF+FM,
54.66,-106.99,Low VHF+FM,
54.67,-107.28,Low VHF+FM,
54.68,-111.36,Low VHF+FM,
54.69,-109.37,Low VHF+FM,
54.70,-109.73,Low VHF+FM,
54.70,-109.36,Low VHF+FM,
54.71,-107.57,Low VHF+FM,
54.72,-105.42,Low VHF+FM,
54.73,-104.77,Low VHF+FM,
54.74,-104.96,Low VHF+FM,
54.75,-112.21,Low VHF+FM,
54.76,-107.46,Low VHF+FM,
54.77,-109.99,Low VHF+FM,
54.77,-111.50,Low VHF+FM,
54.78,-113.60,Low VHF+FM,
54.79,-99.91,Low VHF+FM,
54.80,-107.01,Low VHF+FM,
54.81,-103.91,Low VHF+FM,
54.82,-106.10,Low VHF+FM,
54.83,-113.18,Low VHF+FM,
54.83,-108.48,Low VHF+FM,
54.84,-105.64,Low VHF+FM,
54.85,-110.97,Low VHF+FM,
54.86,-109.14,Low VHF+FM,
54.87,-107.86,Low VHF+FM,
54.88,-109.08,Low VHF+FM,
54.89,-108.60,Low VHF+FM,
54.90,-110.09,Low VHF+FM,
54.90,-111.27,Low VHF+FM,
54.91,-110.30,Low VHF+FM,
54.92,-108.63,Low VHF+FM,
54.93,-108.45,Low VHF+FM,
54.94,-106.94,Low VHF+FM,
54.95,-107.96,Low VHF+FM,
54.96,-109.10,Low VHF+FM,
54.97,-105.19,Low VHF+FM,
54.97,-109.56,Low VHF+FM,
54.98,-110.15,Low VHF+FM,
54.99,-110.84,Low VHF+FM,
55.00,-108.21,Low VHF+FM,
55.01,-107.87,Low VHF+FM,
55.02,-107.24,Low VHF+FM,
55.03,-110.46,Low VHF+FM,
55.03,-106.92,Low VHF+FM,
55.04,-108.38,Low VHF+FM,
55.05,-106.55,Low VHF+FM,
55.06,-105.96,Low VHF+FM,
55.07,-105.79,Low VHF+FM,
55.08,-109.47,Low VHF+FM,
55.09,-107.01,Low VHF+FM,
55.10,-104.83,Low VHF+FM,
55.10,-112.53,Low VHF+FM,
55.11,-109.75,Low VHF+FM,
55.12,-106.84,Low VHF+FM,
55.13,-111.41,Low VHF+FM,
55.14,-108.75,Low VHF+FM,
55.15,-107.66,Low VHF+FM,
55.16,-107.24,Low VHF+FM,
55.17,-110.08,Low VHF+FM,
55.17,-112.15,Low VHF+FM,
55.18,-111.43,Low VHF+FM,
55.19,-106.67,Low VHF+FM,
55.20,-104.96,Low VHF+FM,
55.21,-109.87,Low VHF+FM,
55.22,-107.79,Low VHF+FM,
55.23,-109.86,Low VHF+FM,
55.23,-109.34,Low VHF+FM,
55.24,-108.38,Low VHF+FM,
55.25,-108.88,Low VHF+FM,
55.26,-107.91,Low VHF+FM,
55.27,-110.78,Low VHF+FM,
55.28,-107.24,Low VHF+FM,
55.29,-108.48,Low VHF+FM,
55.30,-104.80,Low VHF+FM,
55.30,-111.17,Low VHF+FM,
55.31,-108.65,Low VHF+FM,
55.32,-102.78,Low VHF+FM,
55.33,-106.54,Low VHF+FM,
55.34,-105.71,Low VHF+FM,
55.35,-107.86,Low VHF+FM,
55.36,-108.27,Low VHF+FM,
55.37,-107.40,Low VHF+FM,
55.37,-104.99,Low VHF+FM,
55.38,-111.95,Low VHF+FM,
55.39,-107.33,Low VHF+FM,
55.40,-102.85,Low VHF+FM,
55.41,-111.72,Low VHF+FM,
55.42,-106.10,Low VHF+FM,
55.43,-108.87,Low VHF+FM,
55.43,-103.97,Low VHF+FM,
55.44,-106.08,Low VHF+FM,
55.45,-105.56,Low VHF+FM,
55.46,-105.75,Low VHF+FM,
55.47,-113.79,Low VHF+FM,
55.48,-106.84,Low VHF+FM,
55.49,-105.81,Low VHF+FM,
55.50,-111.67,Low VHF+FM,
55.50,-105.09,Low VHF+FM,
55.51,-112.08,Low VHF+FM,
55.52,-106.26,Low VHF+FM,
55.53,-104.70,Low VHF+FM,
55.54,-109.00,Low VHF+FM,
55.55,-106.22,Low VHF+FM,
55.56,-114.25,Low VHF+FM,
55.57,-109.46,Low VHF+FM,
55.57,-110.23,Low VHF+FM,
55.58,-107.69,Low VHF+FM,
55.59,-106.63,Low VHF+FM,
55.60,-111.72,Low VHF+FM,
55.61,-109.08,Low VHF+FM,
55.62,-107.97,Low VHF+FM,
55.63,-104.55,Low VHF+FM,
55.63,-108.40,Low VHF+FM,
55.64,-107.43,Low VHF+FM,
55.65,-105.69,Low VHF+FM,
55.66,-113.76,Low VHF+FM,
55.67,-116.40,Low VHF+FM,
55.68,-111.15,Low VHF+FM,
55.69,-110.82,Low VHF+FM,
55.70,-103.08,Low VHF+FM,
55.70,-109.49,Low VHF+FM,
55.71,-108.56,Low VHF+FM,
55.72,-108.21,Low VHF+FM,
55.73,-116.73,Low VHF+FM,
55.74,-106.62,Low VHF+FM,
55.75,-110.11,Low VHF+FM,
55.76,-107.64,Low VHF+FM,
55.77,-109.78,Low VHF+FM,
55.77,-109.00,Low VHF+FM,
55.78,-110.91,Low VHF+FM,
55.79,-109.58,Low VHF+FM,
55.80,-109.75,Low VHF+FM,
55.81,-108.35,Low VHF+FM,
55.82,-107.08,Low VHF+FM,
55.83,-110.07,Low VHF+FM,
55.83,-111.49,Low VHF+FM,
55.84,-105.72,Low VHF+FM,
55.85,-109.81,Low VHF+FM,
55.86,-109.08,Low VHF+FM,
55.87,-109.99,Low VHF+FM,
55.88,-106.06,Low VHF+FM,
55.89,-108.48,Low VHF+FM,
55.90,-108.96,Low VHF+FM,
55.90,-108.84,Low VHF+FM,
55.91,-110.42,Low VHF+FM,
55.92,-103.63,Low VHF+FM,
55.93,-104.05,Low VHF+FM,
55.94,-110.40,Low VHF+FM,
55.95,-106.59,Low VHF+FM,
55.96,-111.30,Low VHF+FM,
55.97,-110.37,Low VHF+FM,
55.97,-110.81,Low VHF+FM,
55.98,-112.11,Low VHF+FM,
55.99,-107.22,Low VHF+FM,
56.00,-109.41,Low VHF+FM,
56.01,-109.11,Low VHF+FM,
56.02,-104.06,Low VHF+FM,
56.03,-110.62,Low VHF+FM,
56.03,-106.44,Low VHF+FM,
56.04,-109.00,Low VHF+FM,
56.05,-103.04,Low VHF+FM,
56.06,-113.23,Low VHF+FM,
56.07,-111.34,Low VHF+FM,
56.08,-111.67,Low VHF+FM,
56.09,-107.89,Low VHF+FM,
56.10,-107.21,Low VHF+FM,
56.10,-108.74,Low VHF+FM,
56.11,-112.23,Low VHF+FM,
56.12,-114.60,Low VHF+FM,
56.13,-108.63,Low VHF+FM,
56.14,-107.96,Low VHF+FM,
56.15,-110.54,Low VHF+FM,
56.16,-111.47,Low VHF+FM,
56.17,-108.70,Low VHF+FM,
56.17,-108.96,Low VHF+FM,
56.18,-109.27,Low VHF+FM,
56.19,-109.48,Low VHF+FM,
56.20,-111.13,Low VHF+FM,
56.21,-111.39,Low VHF+FM,
